CustomerGuid,Customer Company Name,Charge Start Date,Charge End Date,OrderId,Order Date,ProductId,Product Name,SkuId,SkuName,SubscriptionId,Subscription Description,MpnId,Consumed Quantity,Unit,Unit Price,Pre Tax Amount,Currency,TermAndBillingCycle,MeterDescription,ReservationOrderId,SubscriptionStartDate,SubscriptionEndDate,PublisherId,PublisherName,Category
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun 17 2025 12:00AM,Jul 16 2025 12:00AM,vLqoiHgkdYim0MURjGkaTZSOgGo5Z4mI1,Jun 17 2025,DZH318Z0BQ50,Virtual Machines DSv3 Series,00B8,Reserved VM Instance- Standard_D8s_v3- US East- 3 Years,97b59aca-5aa6-41e3-dbeb-c23dd818fa3a,/providers/Microsoft.Capacity/reservationOrders/e94c1716-a234-4e41-b496-3c24bcae7ffa,3901615,1,1 Hour,9665.773018,9665.76265,INR,3 Years Reservation,,e94c1716-a234-4e41-b496-3c24bcae7ffa,,,,Microsoft,Reserved Instance
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun  1 2025 12:00AM,Jun 30 2025 12:00AM,24quXIhcRwvNztyyOWfHTaKS6iDArqON1,Jul  3 2025,DZH318Z0BNWT,Standard Page Blob v2,004G,Standard Page Blob v2 - LRS - IN Central,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,28.0476,1 GB/Month,4.22519625,118.4941188,INR,Data Stored (GB/Month),Standard Page Blob v2 - LRS Data Stored (GB/Month) - IN Central,421877e2b25a9556172f6d84e2a71ee6cc91d328d6317ea1b8cb02bd5eb6d006,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun  1 2025 12:00AM,Jun 30 2025 12:00AM,b1IvCas6jDtnTUw8927EQ4KinHN3Wxy11,Jul  3 2025,DZH318Z0BNZJ,Blob Storage,00HJ,Blob Storage - Hot LRS - DE West Central,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,4.2653,10K,0.36703725,1.00000001,INR,10K All Other Operations,Tiered Block Blob - 10K All Other Operations - DE West Central,acc3b24109cc30157d5e58770ad9683dfa8f56943f7cf19c63971280d51daef2,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun  1 2025 12:00AM,Jun 30 2025 12:00AM,bXx3jK5gkuDuz1vlE5CeQq2aGGH_6a4P1,Jul  3 2025,DZH318Z0BP04,Premium SSD Managed Disks,01G3,Premium SSD Managed Disks - P3 - US East,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,0.416801,1/Month,204.8580017,85.35294203,INR,1 Disk/Month,Premium SSD Managed Disks - P3 LRS/Month - US East,cffb38a2c5a61a9d27a540781e4da588d98da6c79d6332674fadccd9218ff324,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun  1 2025 12:00AM,Jun 30 2025 12:00AM,dr6eLoVb0pzGMkg1EJ_ATar0A93rPUDH1,Jul  3 2025,DZH318Z0BP05,Backup,85,Backup - Azure VM - DE West Central,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,5.80645,1/Month,853.5750085,4955.752991,INR,1 Protected Instance/Month,Backup - Azure VM - Protected Instances/Month - DE West Central,bd3809c19a5bc4279c4d82c6340faf6b80a65c83bed9094a4b509744d0da2827,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun  1 2025 12:00AM,Jun 30 2025 12:00AM,XldiuH8rdiSkK_KlgzQqTJ-qE8whVuiI1,Jul  3 2025,DZH318Z0G1GH,Virtual Machines Dpdsv6 Series,000N,Virtual Machines Dpdsv6 Series - D4pds v6 - US East,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,129.05,1 Hour,15.70578,2026.482373,INR,1 Compute Hour,Virtual Machines Dpdsv6 Series - D4pds v6 Hours - US East,00aaeb48f674d1edbfe60d562bbc0671b354b8bd23cd5b397803c02b2159a72d,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun  1 2025 12:00AM,Jun 30 2025 12:00AM,vE-5gn2nccymjViIp-39QIX3-hEYdqWK1,Jul  3 2025,DZH318Z0C120,General Block Blob v2 Hierarchical Namespace,006R,General Block Blob v2 Hierarchical Namespace - Cool LRS - EU West,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,31.246,1 GB/Month,0.853575,26.10588261,INR,Data Stored (GB/Month),General Block Blob v2 Hierarchical Namespace - Cool LRS - Data Stored (GB/Month) - EU West,5794f8c8b3cbf52d9f523560df969b13158d5c0d7b06f8b333b4ee6c13023879,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun  7 2025 12:00AM,Jul  6 2025 12:00AM,O6zwfnUASgjpXjDUQg4JSrWC15yAP1O71,Jun  7 2025,DZH318Z0BQ50,Virtual Machines DSv3 Series,004P,Reserved VM Instance- Standard_D8s_v3- IN Central- 3 Years,984ef6e7-12fe-431a-d880-ade4a3341f9c,/providers/Microsoft.Capacity/reservationOrders/46588c1d-41c6-41d1-a7ad-98417168ef55,3901615,1,1 Hour,10105.12634,10105.11789,INR,3 Years Reservation,,46588c1d-41c6-41d1-a7ad-98417168ef55,,,,Microsoft,Reserved Instance
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun  1 2025 12:00AM,Jun 30 2025 12:00AM,bXx3jK5gkuDuz1vlE5CeQq2aGGH_6a4P1,Jul  3 2025,DZH318Z0C120,General Block Blob v2 Hierarchical Namespace,009P,General Block Blob v2 Hierarchical Namespace - Cool LRS - IN Central,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,3.2E-05,1 GB,0.853575,0,INR,Data Retrieval (GB),General Block Blob v2 Hierarchical Namespace - Cool - Data Retrieval (GB) - IN Central,fe59e0a7717e0691aa235df90dd844cb6b0fad942faeec9604f5759ddbdf3be2,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun  1 2025 12:00AM,Jun 30 2025 12:00AM,oTmpkeg-8dWuJKTzKwCXSbFDaWCefC4H1,Jul  3 2025,DZH318Z0BZ26,Storage - Bandwidth,003N,Storage - Bandwidth - Geo-Replication v2 - DE West Central,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,531.88,1 GB,1.70715,907.8000091,INR,Data Transfer (GB),Storage - Bandwidth - Geo-Replication v2 GB Data Transfer - DE West Central,9f563fb130ecc517c0c0b1d8074faa111d21c08d026189f938e5af21d70bcd56,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun  1 2025 12:00AM,Jun 30 2025 12:00AM,24quXIhcRwvNztyyOWfHTaKS6iDArqON1,Jul  3 2025,DZH318Z0BP04,Premium SSD Managed Disks,00HF,Premium SSD Managed Disks - P15 - IN Central,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,21.3341,1/Month,3244.619365,69219.88305,INR,1 Disk/Month,Premium SSD Managed Disks - P15 LRS/Month - IN Central,4ecdcfbe75a53c52674877cb20feb859bd0295d9ff8d8e94b5318c11e69b1c2a,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun  1 2025 12:00AM,Jun 30 2025 12:00AM,eVM_h66Fvtcw8JaXoObHTpd-j4QuXM2R1,Jul  3 2025,DZH318Z0BQD2,Log Analytics,003X,Log Analytics - Pay-as-you-go - CA Central,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,4.02E-05,1 GB,0,0,INR,Data Ingestion (GB),Log Analytics - Pay-as-you-go GB Data Ingestion - CA Central,2a4bd5c1a84d4bc04404e1b5fc4d5efd84f5f698763cf3e247ea461976638e97,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun  1 2025 12:00AM,Jun 30 2025 12:00AM,VSKu4bFm37t9g3cvH0PEQL93-I0J-KrN1,Jul  3 2025,DZH318Z0BQG3,Event Grid,000L,Event Grid - US East,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,1,1M,0,0,INR,1M Event Operations,Event Grid - Standard 1M Event Operations - US East,4b842b9f7f0c183b8ca777662c0fecb6277d6387a2afb8ceb3e8e6fb90a426f4,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun  1 2025 12:00AM,Jun 30 2025 12:00AM,dr6eLoVb0pzGMkg1EJ_ATar0A93rPUDH1,Jul  3 2025,DZH318Z0BJRM,Azure Data Lake Storage Gen2 Hierarchical Namespace,00B7,Azure Data Lake Storage Gen2 Hierarchical Namespace - Hot LRS - IN Central,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,17852,10K,6.10306125,108951.2952,INR,10K Iterative Read Operations,Azure Data Lake Storage Gen2 Hierarchical Namespace - Hot - 10K Iterative Read Operations - IN Central,e531e845090dbf3c3a25d3e3b35cf1bc6b921bf7815ac6d71a9393e62af17836,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun  1 2025 12:00AM,Jun 30 2025 12:00AM,q2YfzNTcZNNH9cwVZ5tFRY_ijNCbFSGo1,Jul  3 2025,DZH318Z0BQD2,Log Analytics,003J,Log Analytics - Pay-as-you-go - EU West,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,0.00029728,1 GB,0,0,INR,Data Ingestion (GB),Log Analytics - Pay-as-you-go GB Data Ingestion - EU West,5302ef47d389ae975e75107966aff7c32a1f9dcea876e2f4337d3053ad5846b1,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun  1 2025 12:00AM,Jun 30 2025 12:00AM,Sl4z9mNYJRfNHk8hAK2jTo5CAX-pabeA1,Jul  3 2025,DZH318Z0BJSN,Windows Server Burst,4,Windows Server Burst - 8 vCPU VM,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,1438.52,1 Hour,2.73144,3928.447098,INR,1 License Hour,Windows Server Burst - 8 vCPU VM Hours License,5b07c6fab16873babbb8623611fda84e8ce07664732b150021dba9bbc7821f26,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun 22 2025 12:00AM,Jul 21 2025 12:00AM,VbaLOEp0lLUOejiPYD2wT4VkOj1Wa2BK1,Jun 22 2025,DZH318Z0CM2C,Virtual Machines Dasv4 Series,00P9,Reserved VM Instance- Standard_D2as_v4- IN Central- 3 Years,ade21c32-7b4a-4780-c081-ac47886e5a5e,/providers/Microsoft.Capacity/reservationOrders/8a7f292c-09ab-4508-aa80-1b044370d798,3901615,4,1 Hour,1549.866003,6199.435064,INR,3 Years Reservation,,8a7f292c-09ab-4508-aa80-1b044370d798,,,,Microsoft,Reserved Instance
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun  1 2025 12:00AM,Jun 30 2025 12:00AM,D5J5JDyGDNDtTa6cwS9vRaL6bIDODYIh1,Jul  3 2025,DZH318Z0CM2B,Virtual Machines Dav4 Series,000W,Virtual Machines Dav4 Series - D8a v4 - US East,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,79,1 Hour,32.77728,2588.83532,INR,1 Compute Hour,Virtual Machines Dav4/Dasv4 Series - D8a v4/D8as v4 Hours - US East,42392bcf807420ebfe33ac19e1dbdedf645dc73784ba2f3595a3e5d897c31edb,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun 21 2025 12:00AM,Jul 20 2025 12:00AM,SEd_U7QdCLofW4AfjcnCT44g842Ef7iQ1,Jun 21 2025,DZH318Z0BQ35,Virtual Machines BS Series,00B5,Reserved VM Instance- Standard_B4ms- IN Central- 3 Years,ac085508-62fc-438f-c3c9-29734508ed19,/providers/Microsoft.Capacity/reservationOrders/249915f5-98c5-4550-a720-f48d9e8c2382,3901615,1,1 Hour,4317.162981,4317.154692,INR,3 Years Reservation,,249915f5-98c5-4550-a720-f48d9e8c2382,,,,Microsoft,Reserved Instance
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun 21 2025 12:00AM,Jul 20 2025 12:00AM,WsnXqI-9woLowtJdwHzyR6KVaPS-ZJAx1,Jun 21 2025,DZH318Z09LQP,Virtual Machines Ebdsv5 Series,01DV,Reserved VM Instance- Standard_E4bds_v5- IN Central- 3 Years,d37e0a7b-e79b-4fc4-ce04-c16bf4cfd19f,/providers/Microsoft.Capacity/reservationOrders/5ef3f386-b883-4957-a422-bfddf50e8139,3901615,1,1 Hour,8771.792338,8771.78947,INR,3 Years Reservation,,5ef3f386-b883-4957-a422-bfddf50e8139,,,,Microsoft,Reserved Instance
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun 18 2025 12:00AM,Jul 17 2025 12:00AM,lQpOxr0CdXoQNlYrFi7ZQ5V34O3I8UvZ1,Jun 18 2025,DZH318Z0BQ50,Virtual Machines DSv3 Series,00C5,Reserved VM Instance- Standard_D4s_v3- US East- 3 Years,de0f71f2-0635-43f2-d3ef-03f2ef269592,/providers/Microsoft.Capacity/reservationOrders/b1609960-1e09-4284-9518-905fe32c25c5,3901615,1,1 Hour,4833.784982,4833.781298,INR,3 Years Reservation,,b1609960-1e09-4284-9518-905fe32c25c5,,,,Microsoft,Reserved Instance
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun 27 2025 12:00AM,Jul 26 2025 12:00AM,Jct8JQhV1rU5iuDtnKiCTZsRubhf1as41,Jun 27 2025,DZH318Z0BQ35,Virtual Machines BS Series,002K,Reserved VM Instance- Standard_B2ms- US East- 3 Years,331f16ec-7e12-442b-d529-3dc6c0db2158,/providers/Microsoft.Capacity/reservationOrders/838b74df-ce31-45b2-84ce-3a62eb68ff23,3901615,1,1 Hour,2051.213962,2051.212146,INR,3 Years Reservation,,838b74df-ce31-45b2-84ce-3a62eb68ff23,,,,Microsoft,Reserved Instance
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun  1 2025 12:00AM,Jun 30 2025 12:00AM,eVM_h66Fvtcw8JaXoObHTpd-j4QuXM2R1,Jul  3 2025,DZH318Z0BP0B,Files,004M,Files - LRS,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,0.0005,10K,1.2803625,0,INR,10K List Operations,Files - 10K List Operations,2c79d39d45e15ba9ac45ed75130e725ae8fec4dc31eaa550a92bf5db0ab9f443,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun  1 2025 12:00AM,Jun 30 2025 12:00AM,24quXIhcRwvNztyyOWfHTaKS6iDArqON1,Jul  3 2025,DZH318Z0BP0B,Files,004M,Files - LRS,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,43.068,1 GB/Month,5.12145,219.9176493,INR,Data Stored (GB/Month),Files - LRS Data Stored (GB/Month),8e0a63dafc3c14a650c1e523397f7b325324fa4a68934bf8f0ef69b48fea3a8e,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun  1 2025 12:00AM,Jun 30 2025 12:00AM,TIVYYY6PbDevXGMmkwYLQ7vIDjKQQCUI1,Jul  3 2025,DZH318Z0BP0L,Standard HDD Managed Disks,01CL,Standard HDD Managed Disks - Snapshots LRS - US East,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,23880.3,1 GB/Month,4.267875,101917.8834,INR,Snapshots (GB/Month),Standard HDD Managed Disks - Snapshots - LRS - 1 GB/Month Snapshots - US East,a4aa75b99180af781ae8dc9e24ac5f0b3d14226efc57e5d30e10d1ae290348aa,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun  1 2025 12:00AM,Jun 30 2025 12:00AM,6bDx78Wl5bIQWU57RXgkQb38AcQS3Oor1,Jul  3 2025,DZH318Z0BQG3,Event Grid,11,Event Grid,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,1,100K,0,0,INR,100K Operations,Event Grid - Standard 100K Operations,be890073dc15fb9dda495ba7329cb6f677de50f364601e9e5a5fd318af197a08,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun  1 2025 12:00AM,Jun 30 2025 12:00AM,TIVYYY6PbDevXGMmkwYLQ7vIDjKQQCUI1,Jul  3 2025,DZH318Z0BP88,Standard SSD Managed Disks,00D7,Standard SSD Managed Disks - E4 LRS - IN Central,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,11.4021,1/Month,225.3438026,2568.752967,INR,1 Disk/Month,Standard SSD Managed Disks - E4 - LRS - 1/Month Disk - IN Central,7b66e342614f6300249e5e3026b9a03fc2a99d871e59492a581cc34866442472,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun  1 2025 12:00AM,Jun 30 2025 12:00AM,VBp1jjd9fB3OueydbAbjRaT9BBf43Vvg1,Jul  3 2025,DZH318Z0BNZH,General Block Blob,000K,General Block Blob - LRS - IN Central,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,1.30176,1 GB/Month,2.253438,2.00000002,INR,Data Stored (GB/Month),General Block Blob - LRS Data Stored (GB/Month) - IN Central,4e632b2aaacc4d4398364c8edae7d3524a9ef2c3f5712ac2699ae37b6f7b0549,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun  1 2025 12:00AM,Jun 30 2025 12:00AM,D5J5JDyGDNDtTa6cwS9vRaL6bIDODYIh1,Jul  3 2025,DZH318Z0B0NC,Azure Container Apps,1,Azure Container Apps - Standard - EU West,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,19661800,1 GiB Second,0.00034143,6713.105949,INR,Memory Active Usage GiB Second,Azure Container Apps - Standard Memory Active Usage 1 GiB Second - EU West,28b6649e65a8446d31e68f1b54fe80d08f44e93bf5d3cdcdaeb6dc4b8c64e186,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun  1 2025 12:00AM,Jun 30 2025 12:00AM,oTmpkeg-8dWuJKTzKwCXSbFDaWCefC4H1,Jul  3 2025,DZH318Z0BP88,Standard SSD Managed Disks,00VK,Standard SSD Managed Disks - E3 LRS - IN Central,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,11.685,1/Month,112.6719009,1316.505896,INR,1 Disk/Month,Standard SSD Managed Disks - E3 - LRS - 1/Month Disk - IN Central,65f13757b843cb4bab9c89156cfddf254f79f1b88743f76fc1bbb214ba19e183,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun 21 2025 12:00AM,Jul 20 2025 12:00AM,HxfC0bXEigxM28s95CyuS6qVk41Pt6RY1,Jun 21 2025,DZH318Z0BQ35,Virtual Machines BS Series,00B5,Reserved VM Instance- Standard_B4ms- IN Central- 3 Years,995d1da0-ef42-4955-c6f4-082f34688ee1,/providers/Microsoft.Capacity/reservationOrders/c414f643-ea57-440a-a141-82abbbc85ec5,3901615,1,1 Hour,4317.162981,4317.154692,INR,3 Years Reservation,,c414f643-ea57-440a-a141-82abbbc85ec5,,,,Microsoft,Reserved Instance
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun  1 2025 12:00AM,Jun 30 2025 12:00AM,BzPmXin51VzVqNdJE5gcQroGj6lKtlpt1,Jul  3 2025,DZH318Z0BNXM,Traffic Manager,25,Traffic Manager - Azure Endpoint,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,3.87097,1,30.7287,118.4941188,INR,1 Health Check,Traffic Manager - Azure Endpoint - Health Checks,fe08087e159dba59d496a8934d225599a1190abbc46c422067f06f95f989bcc4,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun  1 2025 12:00AM,Jun 30 2025 12:00AM,Da9XRttlzDDLpaX94mV2TpoBUWpXASHC1,Jul  3 2025,DZH318Z0BP88,Standard SSD Managed Disks,00CS,Standard SSD Managed Disks - E4 LRS - US East,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,2.75161,1/Month,204.8580017,563.3529468,INR,1 Disk/Month,Standard SSD Managed Disks - E4 - LRS - 1/Month Disk - US East,81e83133cac61c7231ef22fbde066b27783900b877997493b436a70a1dd326b9,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun  1 2025 12:00AM,Jun 30 2025 12:00AM,ObWoi-xnlQ1TWJQbq9seS4AgDi6-IW3-1,Jul  3 2025,DZH318Z0C120,General Block Blob v2 Hierarchical Namespace,004T,General Block Blob v2 Hierarchical Namespace - Hot LRS - US East,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,144.954,1 GB/Month,1.7925075,259.0823555,INR,Data Stored (GB/Month),General Block Blob v2 Hierarchical Namespace - Hot LRS - Data Stored (GB/Month) - US East,6281ff81f3366375532c88fc500f1def5ebb5424c6b04c55406c145b9c8af0c9,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun  1 2025 12:00AM,Jun 30 2025 12:00AM,blfabdrfYJZhSDUtpvaUR5rUYEbYRW9G1,Jul  3 2025,DZH318Z0BNZJ,Blob Storage,00C5,Blob Storage - Hot LRS - IN Central,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,4428.87,10K,4.6946625,20791.05903,INR,10K Write Operations,Tiered Block Blob - Hot LRS - 10K Write Operations - IN Central,40e8bded2bff189078d17e5e272f707131542e44eaba0d9ec3af2ee0751b22ea,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun  1 2025 12:00AM,Jun 30 2025 12:00AM,24quXIhcRwvNztyyOWfHTaKS6iDArqON1,Jul  3 2025,DZH318Z0BP0B,Files,004M,Files - LRS,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,574785,10K,1.2803625,735932.9485,INR,10K Write Operations,Files - LRS - 10K Write Operations,cd731ab74e5adce8bdbbb7e86dfd359bd08df17a4d6e4a1421b8781c07dd7d6e,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun  1 2025 12:00AM,Jun 30 2025 12:00AM,1PIQiVyQIo-LUi-xA_BNS7STlq8euRCU1,Jul  3 2025,DZH318Z0BNZJ,Blob Storage,00C5,Blob Storage - Hot LRS - IN Central,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,35888.4,1 GB/Month,1.70715,61266.58885,INR,Data Stored (GB/Month),Tiered Block Blob - Hot LRS - Data Stored (GB/Month) - IN Central,261ec9c9bb9b3b061700cb2153c4c0d33eac8d955f573929207a66f6fca62248,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun 24 2025 12:00AM,Jul 23 2025 12:00AM,8Jzo8ApVDLcmbrRoq9qPSbhkik6YhxmB1,Jun 24 2025,DZH318Z0BQ50,Virtual Machines DSv3 Series,01LQ,Reserved VM Instance- Standard_D8s_v3- DE West Central- 3 Years,9cafdd2b-047d-4421-c7a8-686dd6dc660c,/providers/Microsoft.Capacity/reservationOrders/ff7ea279-56f4-4e8c-8ece-967dc5349ccb,3901615,2,1 Hour,11312.67411,22625.32122,INR,3 Years Reservation,,ff7ea279-56f4-4e8c-8ece-967dc5349ccb,,,,Microsoft,Reserved Instance
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun  1 2025 12:00AM,Jun 30 2025 12:00AM,UtHf8ULJVgk196pT3EGgToGTaTDuMd7M1,Jul  3 2025,DZH318Z0BJRM,Azure Data Lake Storage Gen2 Hierarchical Namespace,00C8,Azure Data Lake Storage Gen2 Hierarchical Namespace - Hot LRS - EU West,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,2031.74,10K,5.9920965,12174.00012,INR,10K Iterative Read Operations,Azure Data Lake Storage Gen2 Hierarchical Namespace - Hot - 10K Iterative Read Operations - EU West,b458bcfdef2d2a45881d119ed15d95b657ae570f193dfbc5918bb82597461833,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun 12 2025 12:00AM,Jul 11 2025 12:00AM,C7BAI36iArtLDCeaJAMqQYQCtOp0exCU1,Jun 12 2025,DZH318Z0BQ35,Virtual Machines BS Series,002K,Reserved VM Instance- Standard_B2ms- US East- 3 Years,755837f9-d2f0-4f39-cb8f-c6709c8e8b68,/providers/Microsoft.Capacity/reservationOrders/8f60a616-1b57-4b31-b4db-a6f494764ccb,3901615,1,1 Hour,2051.213962,2051.212146,INR,3 Years Reservation,,8f60a616-1b57-4b31-b4db-a6f494764ccb,,,,Microsoft,Reserved Instance
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jun  1 2025 12:00AM,Jun 30 2025 12:00AM,bXx3jK5gkuDuz1vlE5CeQq2aGGH_6a4P1,Jul  3 2025,DZH318Z0BQD2,Log Analytics,004R,Log Analytics - Pay-as-you-go,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,22.3796,1 GB,196.3222517,4393.400044,INR,Data Ingestion (GB),Log Analytics - Pay-as-you-go GB Data Ingestion,577cab3479b3f657092e00b6db749ec35900bd307b6153ce717eb62ae3f4f166,,,,Microsoft,Azure Plan
